Altium Designer Pick and Place Locations
D:\git\SmartHome_Switch_NoAC\Project Outputs for SmartHome_Switch_noAC\Folder Structure\SmartHome_relay_P&P.csv

========================================================================================================================
File Design Information:

Date:       25.12.21
Time:       19:38
Revision:   d95b67c46e8ecfd55cadcda7dc3e40362776391e
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer"
"X8","2.1080","1.8329","0","TopLayer"
"X7","36.8046","2.2098","0","TopLayer"
"TP9","1.5250","24.8085","90","BottomLayer"
"TP8","5.7658","24.1046","90","BottomLayer"
"TP7","2.7493","22.2540","90","BottomLayer"
"TP6","4.8260","20.4216","90","BottomLayer"
"TP5","9.9030","20.1500","90","BottomLayer"
"TP4","4.3750","18.2172","90","BottomLayer"
"TP3","11.0744","18.1500","90","BottomLayer"
"TP2","8.5640","18.1500","90","BottomLayer"
"TP1","6.3993","18.1500","180","BottomLayer"
"G1","22.6436","29.5514","90","BottomLayer"
"X1","20.0000","2.5400","0","TopLayer"
"C24","21.6000","20.8000","270","TopLayer"
"C25","19.6000","20.8000","270","TopLayer"
"R8","12.1000","11.6960","180","TopLayer"
"R9","29.6000","23.6038","180","TopLayer"
"R11","28.2100","28.5250","180","TopLayer"
"R14","28.4000","27.0000","0","TopLayer"
"R15","28.4000","26.0000","0","TopLayer"
"X6","37.0000","24.0953","90","TopLayer"
"R10","30.9786","26.4500","90","TopLayer"
"R12","25.8000","28.5250","180","TopLayer"
"VT1","30.0126","21.2040","0","TopLayer"
"D1","23.3000","14.4090","180","TopLayer"
"R13","30.3005","15.1720","270","TopLayer"
"R4","13.1300","18.5250","270","TopLayer"
"X4","36.5000","15.0569","90","TopLayer"
"X3","36.5000","8.0569","90","TopLayer"
"R3","15.7705","21.2040","90","TopLayer"
"DD1","15.0205","17.8245","270","TopLayer"
"C1","13.1300","16.1018","90","TopLayer"
"R5","10.0000","13.5000","270","TopLayer"
"R2","8.7750","16.2365","0","TopLayer"
"DD3","15.5500","12.3500","0","TopLayer"
"C7","12.1000","12.9000","180","TopLayer"
"C6","17.9000","12.2055","270","TopLayer"
"R1","20.6270","14.9590","270","TopLayer"
"L7","24.4500","19.9500","180","TopLayer"
"C23","28.4000","25.1000","180","TopLayer"
"DD5","25.4000","23.5000","90","TopLayer"
"SB1","4.3250","6.1163","180","TopLayer"
"ZQ1","11.1000","29.8000","0","TopLayer"
"X5","34.3880","35.8011","180","TopLayer"
"X2","1.9225","33.6387","270","TopLayer"
"R7","4.4455","33.6231","0","TopLayer"
"R6","4.4952","36.2465","0","TopLayer"
"L6","25.7000","35.9000","0","TopLayer"
"L5","22.5000","35.9200","0","TopLayer"
"L4","19.3000","33.6500","0","TopLayer"
"L3","15.5000","36.4500","90","TopLayer"
"L2","17.2000","35.9000","0","TopLayer"
"L1","15.5000","34.2000","270","TopLayer"
"DD4","12.1000","34.7000","180","TopLayer"
"DD2","7.0250","22.1500","180","TopLayer"
"C22","22.6436","26.5000","0","TopLayer"
"C21","27.2513","19.2120","90","TopLayer"
"C20","30.2000","35.4000","270","TopLayer"
"C19","28.8000","35.9000","0","TopLayer"
"C18","27.3000","35.4000","270","TopLayer"
"C17","24.1000","35.4500","270","TopLayer"
"C16","20.8000","36.4200","90","TopLayer"
"C15","19.3000","35.9000","180","TopLayer"
"C14","16.0000","37.9500","0","TopLayer"
"C13","19.3000","34.8000","180","TopLayer"
"C12","16.6500","33.1700","270","TopLayer"
"C11","8.1000","37.6000","180","TopLayer"
"C10","10.3000","38.2000","270","TopLayer"
"C9","12.8500","37.7000","180","TopLayer"
"C8","11.3000","38.2000","270","TopLayer"
"C5","7.7967","15.0496","0","TopLayer"
"C4","2.2258","15.6538","0","TopLayer"
"C3","7.5795","13.8436","180","TopLayer"
"C2","2.3987","14.2820","0","TopLayer"
